,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,8 September 2023,France,v,New Zealand,"Stade de France, Saint-Denis"
1,9 September 2023,Italy,v,Africa 1,"Stade Geoffroy Guichard, Saint-Etienne"
2,14 September 2023,France,v,Americas 1,"Stade Pierre-Mauroy, Lille"
3,15 September 2023,New Zealand,v,Africa 1,"Stadium, Toulouse"
4,20 September 2023,Italy,v,Americas 1,"Allianz Riviera, Nice"
5,21 September 2023,France,v,Africa 1,"Stade Vélodrome, Marseille"
6,27 September 2023,Americas 1,v,Africa 1,"Groupama Stadium, Décines-Charpieu"
7,29 September 2023,New Zealand,v,Italy,"Groupama Stadium, Décines-Charpieu"
8,5 October 2023,New Zealand,v,Americas 1,"Groupama Stadium, Décines-Charpieu"
9,6 October 2023,France,v,Italy,"Groupama Stadium, Décines-Charpieu"
