,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,9 September 2023,Ireland,v,Europe 2,"Matmut Atlantique, Bordeaux"
1,10 September 2023,South Africa,v,Scotland,"Stade Vélodrome, Marseille"
2,16 September 2023,Ireland,v,Asia/Pacific 1,"Stade de la Beaujoire, Nantes"
3,17 September 2023,South Africa,v,Europe 2,"Matmut Atlantique, Bordeaux"
4,23 September 2023,South Africa,v,Ireland,"Stade de France, Saint-Denis"
5,24 September 2023,Scotland,v,Asia/Pacific 1,"Allianz Riviera, Nice"
6,30 September 2023,Scotland,v,Europe 2,"Stade Pierre-Mauroy, Lille"
7,1 October 2023,South Africa,v,Asia/Pacific 1,"Stade Vélodrome, Marseille"
8,7 October 2023,Ireland,v,Scotland,"Stade de France, Saint-Denis"
9,8 October 2023,Asia/Pacific 1,v,Europe 2,"Stade Pierre-Mauroy, Lille"
