,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,9 September 2023,Australia,v,Europe 1,"Stade de France, Saint-Denis"
1,10 September 2023,Wales,v,Fiji,"Matmut Atlantique, Bordeaux"
2,16 September 2023,Wales,v,Final Qualifier Winner,"Allianz Riviera, Nice"
3,17 September 2023,Australia,v,Fiji,"Stade Geoffroy Guichard, Saint-Etienne"
4,23 September 2023,Europe 1,v,Final Qualifier Winner,"Stadium, Toulouse"
5,24 September 2023,Wales,v,Australia,"Groupama Stadium, Décines-Charpieu"
6,30 September 2023,Fiji,v,Europe 1,"Matmut Atlantique, Bordeaux"
7,1 October 2023,Australia,v,Final Qualifier Winner,"Stade Geoffroy Guichard, Saint-Etienne"
8,7 October 2023,Wales,v,Europe 1,"Stade de la Beaujoire, Nantes"
9,8 October 2023,Fiji,v,Final Qualifier Winner,"Stadium, Toulouse"
