,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,9 September 2023,England,v,Argentina,"Stade Vélodrome, Marseille"
1,10 September 2023,Japan,v,Americas 2,"Stadium, Toulouse"
2,16 September 2023,Oceania 1,v,Americas 2,"Matmut Atlantique, Bordeaux"
3,17 September 2023,England,v,Japan,"Allianz Riviera, Nice"
4,22 September 2023,Argentina,v,Oceania 1,"Stade Geoffroy Guichard, Saint-Etienne"
5,23 September 2023,England,v,Americas 2,"Stade Pierre-Mauroy, Lille"
6,28 September 2023,Japan,v,Oceania 1,"Stadium, Toulouse"
7,30 September 2023,Argentina,v,Americas 2,"Stade de la Beaujoire, Nantes"
8,7 October 2023,England,v,Oceania 1,"Stade Pierre-Mauroy, Lille"
9,8 October 2023,Japan,v,Argentina,"Stade de la Beaujoire, Nantes"
